"id","obsDay","session","delay_hr"
18,116,"4",38
19,115,"1",0.0166666666666667
19,142,"2",0.733333333333333
39,105,"4",1.06666666666667
39,123,"5",0.0166666666666667
39,139,"6",0
39,158,"7",0.0166666666666667
39,172,"8",0.55
39,214,"9",1.71666666666667
39,263,"10",2.65
39,294,"11",0.816666666666667
44,105,"4",0.35
44,119,"5",0.266666666666667
44,142,"6",0.333333333333333
44,158,"7",0.0666666666666667
44,172,"8",0
44,214,"9",0.616666666666667
44,294,"10",740.083333333333
45,105,"4",0.4
45,130,"5",0.05
45,145,"6",19.8333333333333
45,158,"7",0.05
45,172,"8",0.566666666666667
45,217,"9",74.1166666666667
45,270,"10",180.783333333333
40,126,"4",264.15
40,142,"5",4
33,130,"4",0.516666666666667
33,145,"5",18.2166666666667
17,107,"1",1.26666666666667
75,139,"4",4.91666666666667
82,158,"4",0.116666666666667
6,35,"4",0.1
6,49,"5",0.0666666666666667
6,105,"6",1.7
6,127,"7",192.783333333333
2,34,"1",17.95
4,35,"4",2.23333333333333
4,49,"5",0.666666666666667
4,105,"6",0
4,127,"7",0.166666666666667
